fips,country,state,county,level,lat,locationId,long,population,metrics.testPositivityRatio,metrics.testPositivityRatioDetails.source,metrics.caseDensity,metrics.contactTracerCapacityRatio,metrics.infectionRate,metrics.infectionRateCI90,unused1,unused2,metrics.icuCapacityRatio,riskLevels.overall,riskLevels.testPositivityRatio,riskLevels.caseDensity,riskLevels.contactTracerCapacityRatio,riskLevels.infectionRate,unused3,riskLevels.icuCapacityRatio,actuals.cases,actuals.deaths,actuals.positiveTests,actuals.negativeTests,actuals.contactTracers,actuals.hospitalBeds.capacity,actuals.hospitalBeds.currentUsageTotal,actuals.hospitalBeds.currentUsageCovid,unused4,actuals.icuBeds.capacity,actuals.icuBeds.currentUsageTotal,actuals.icuBeds.currentUsageCovid,unused5,actuals.newCases,actuals.vaccinesDistributed,actuals.vaccinationsInitiated,actuals.vaccinationsCompleted,lastUpdatedDate,url,metrics.vaccinationsInitiatedRatio,metrics.vaccinationsCompletedRatio,actuals.newDeaths,actuals.vaccinesAdministered,cdcTransmissionLevel
02013,US,AK,Aleutians East Borough,county,,iso1:us#iso2:us-ak#fips:02013,,3337,,other,34.2,,1.25,1.15,,,,3,4,3,4,2,,4,444,3,,,,,,,,,,,,2,,2603,2319,2021-11-09,https://covidactnow.org/us/alaska-ak/county/aleutians_east_borough,0.78,0.695,0,,3
02016,US,AK,Aleutians West Census Area,county,,iso1:us#iso2:us-ak#fips:02016,,5634,0.122,other,22.8,,1.14,1.2,,,,2,2,2,4,2,,4,937,1,,,,,,,,,,,,1,,3748,3181,2021-11-09,https://covidactnow.org/us/alaska-ak/county/aleutians_west_census_area,0.665,0.565,1,,3
02020,US,AK,Anchorage Municipality,county,,iso1:us#iso2:us-ak#fips:02020,,288000,0.071,other,69.3,,0.87,0.1,,,0.93,3,1,3,4,0,,3,58553,366,,,,564,501,58,,54,50,12,,498,,186358,163005,2021-11-09,https://covidactnow.org/us/alaska-ak/county/anchorage_municipality,0.647,0.566,24,,3
02050,US,AK,Bethel Census Area,county,,iso1:us#iso2:us-ak#fips:02050,,18386,0.006,other,171.7,,1.05,0.31,,,,5,0,5,4,1,,4,6243,27,,,,,,,,,,,,36,,11631,10736,2021-11-09,https://covidactnow.org/us/alaska-ak/county/bethel_census_area,0.633,0.584,0,,3
02060,US,AK,Bristol Bay Borough,county,,iso1:us#iso2:us-ak#fips:02060,,836,,other,0.0,,1.0,1.17,,,,0,4,0,4,1,,4,608,2,,,,,,,,,,,,0,,,,2021-11-09,https://covidactnow.org/us/alaska-ak/county/bristol_bay_borough,,,0,,0
02068,US,AK,Denali Borough,county,,iso1:us#iso2:us-ak#fips:02068,,2097,0.083,other,74.9,,,,,,,3,1,3,4,4,,4,277,1,,,,,,,,,,,,3,,1152,979,2021-11-09,https://covidactnow.org/us/alaska-ak/county/denali_borough,0.549,0.467,0,,3
02070,US,AK,Dillingham Census Area,county,,iso1:us#iso2:us-ak#fips:02070,,4916,0.042,other,29.1,,0.5,0.58,,,,3,1,3,4,0,,4,912,6,,,,,,,,,,,,2,,2457,2189,2021-11-09,https://covidactnow.org/us/alaska-ak/county/dillingham_census_area,0.5,0.445,0,,3
02090,US,AK,Fairbanks North Star Borough,county,,iso1:us#iso2:us-ak#fips:02090,,96849,0.072,other,78.5,,0.96,0.18,,,0.57,5,1,5,4,1,,0,16189,97,,,,81,72,16,,13,7,3,,149,,54481,47089,2021-11-09,https://covidactnow.org/us/alaska-ak/county/fairbanks_north_star_borough,0.563,0.486,7,,3
02100,US,AK,Haines Borough,county,,iso1:us#iso2:us-ak#fips:02100,,2530,,other,22.6,,1.01,1.16,,,,2,4,2,4,1,,4,229,1,,,,,,,,,,,,3,,1727,1635,2021-11-09,https://covidactnow.org/us/alaska-ak/county/haines_borough,0.683,0.646,0,,3
02105,US,AK,Hoonah-Angoon Census Area,county,,iso1:us#iso2:us-ak#fips:02105,,2148,0.175,other,0.0,,,,,,,0,2,0,4,4,,4,0,0,,,,,,,,,,,,0,,1519,1427,2021-11-09,https://covidactnow.org/us/alaska-ak/county/hoonah_angoon_census_area,0.707,0.664,0,,3
